id,player_id,games_played,pass_att,pass_comp,pass_yd,pass_td,pass_int,qbr,rush_att,rush_yds,rush_td,rush_fum,targ,rec,rec_yds,rec_td,tackle_solo,tackle_tot,tackle_ast,sacks,sack_yds,tackle_for_loss,interceptions,int_td,kick_ret_td,punt_ret_td,fg_made,fg_att,fg_made_1_19,fg_att_1_19,fg_made_20_29,fg_att_20_29,fg_made_30_39,fg_att_30_39,fg_made_40_49,fg_att_40_40,fg_made_50,fg_att_50,xp_made,xp_att
124,8689,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,10007,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,5,3,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,8168,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,42,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,7540,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,7552,16,0,0,0,0,0,39.6,297,1139,18,2,8,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,7005,14,0,0,0,0,0,39.6,100,420,1,1,16,12,40,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,10058,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,43,4,1,10,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,7553,7,0,0,0,0,0,39.6,1,4,0,0,4,2,15,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,8386,16,0,0,0,0,0,39.6,0,0,0,0,95,67,584,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,9849,16,0,0,0,0,0,39.6,173,614,4,2,46,31,270,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,7180,16,625,368,3905,23,16,78.8,55,340,3,2,1,1,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,9996,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,40,12,10.5,75,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,7481,12,0,0,0,0,0,39.6,0,0,0,0,11,8,63,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,6366,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,53,15,2,19,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,7821,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,21,25,0,0,2,2,8,9,11,12,0,2,36,36
139,7072,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,63,15,1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,10060,2,0,0,0,0,0,39.6,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,8435,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,35,11,1,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,9797,16,0,0,0,0,0,39.6,4,58,0,0,81,54,603,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,8077,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,10013,5,18,13,145,1,1,91.2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,6135,4,0,0,0,0,0,39.6,0,0,0,0,6,6,44,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
