id,player_id,team_id,date_started,date_left
423,9804,57,2016-07-01,2016-07-01
424,8032,54,2016-07-01,2016-07-01
425,9883,64,2016-07-01,2016-07-01
426,6668,52,2016-07-01,2016-07-01
427,7906,76,2016-07-01,2016-07-01
428,7263,55,2016-07-01,2016-07-01
429,9874,62,2016-07-01,2016-07-01
430,8562,71,2016-07-01,2016-07-01
431,8619,55,2016-07-01,2016-07-01
432,7541,63,2016-07-01,2016-07-01
433,9875,62,2016-07-01,2016-07-01
434,8513,70,2016-07-01,2016-07-01
435,6377,60,2016-07-01,2016-07-01
436,9728,65,2016-07-01,2016-07-01
437,6660,79,2016-07-01,2016-07-01
438,9998,75,2016-07-01,2016-07-01
439,8665,67,2016-07-01,2016-07-01
440,7412,49,2016-07-01,2016-07-01
441,9805,57,2016-07-01,2016-07-01
442,5956,76,2016-07-01,2016-07-01
443,6212,48,2016-07-01,2016-07-01
444,9892,65,2016-07-01,2016-07-01
445,7024,64,2016-07-01,2016-07-01
446,5946,76,2016-07-01,2016-07-01
447,7826,51,2016-07-01,2016-07-01
448,6114,56,2016-07-01,2016-07-01
449,7113,70,2016-07-01,2016-07-01
450,7610,50,2016-07-01,2016-07-01
451,8262,75,2016-07-01,2016-07-01
452,6525,57,2016-07-01,2016-07-01
453,7595,50,2016-07-01,2016-07-01
454,9788,60,2016-07-01,2016-07-01
455,5947,50,2016-07-01,2016-07-01
456,8463,73,2016-07-01,2016-07-01
457,7911,51,2016-07-01,2016-07-01
458,8817,63,2016-07-01,2016-07-01
459,7332,73,2016-07-01,2016-07-01
460,9918,80,2016-07-01,2016-07-01
461,6119,72,2016-07-01,2016-07-01
462,9584,59,2016-07-01,2016-07-01
463,6379,51,2016-07-01,2016-07-01
464,7006,49,2016-07-01,2016-07-01
465,9938,50,2016-07-01,2016-07-01
466,6434,55,2016-07-01,2016-07-01
467,6750,72,2016-07-01,2016-07-01
468,8649,67,2016-07-01,2016-07-01
469,7229,66,2016-07-01,2016-07-01
470,11574,80,2016-07-01,2016-07-01
471,7452,49,2016-07-01,2016-07-01
472,9840,52,2016-07-01,2016-07-01
473,6028,68,2016-07-01,2016-07-01
474,7146,60,2016-07-01,2016-07-01
475,8904,68,2016-07-01,2016-07-01
476,7612,50,2016-07-01,2016-07-01
477,7473,63,2016-07-01,2016-07-01
478,5991,76,2016-07-01,2016-07-01
479,10050,55,2016-07-01,2016-07-01
480,6444,60,2016-07-01,2016-07-01
481,9884,64,2016-07-01,2016-07-01
482,6309,69,2016-07-01,2016-07-01
483,8373,78,2016-07-01,2016-07-01
484,6567,68,2016-07-01,2016-07-01
485,6708,52,2016-07-01,2016-07-01
486,6625,58,2016-07-01,2016-07-01
487,8529,80,2016-07-01,2016-07-01
488,7346,73,2016-07-01,2016-07-01
489,6371,69,2016-07-01,2016-07-01
490,8746,55,2016-07-01,2016-07-01
491,6770,68,2016-07-01,2016-07-01
492,7551,50,2016-07-01,2016-07-01
493,8154,55,2016-07-01,2016-07-01
494,7446,48,2016-07-01,2016-07-01
495,8211,75,2016-07-01,2016-07-01
496,11580,72,2016-07-01,2016-07-01
497,6290,48,2016-07-01,2016-07-01
498,8170,59,2016-07-01,2016-07-01
499,7172,65,2016-07-01,2016-07-01
500,8592,71,2016-07-01,2016-07-01
501,6508,57,2016-07-01,2016-07-01
502,6628,59,2016-07-01,2016-07-01
503,7907,51,2016-07-01,2016-07-01
504,7370,48,2016-07-01,2016-07-01
505,6136,56,2016-07-01,2016-07-01
506,6276,48,2016-07-01,2016-07-01
507,6310,69,2016-07-01,2016-07-01
508,6629,66,2016-07-01,2016-07-01
509,6349,71,2016-07-01,2016-07-01
510,6445,60,2016-07-01,2016-07-01
511,8548,71,2016-07-01,2016-07-01
512,9919,80,2016-07-01,2016-07-01
513,5948,76,2016-07-01,2016-07-01
514,8177,59,2016-07-01,2016-07-01
